Name,Build
ESXi 4.1 U2,502767
ESXi 4.1 Patch 3,433742
ESXi 4.1 Patch 2,381591
ESXi 4.1 U1,348481
ESXi 4.1 Express Patch 1,320137
ESXi 4.1 Patch 1,320092
ESXi 4.1 GA,260247
ESXi 4.0 Patch 20,1682696
ESXi 4.0 Patch 19,1335992
ESXi 4.0 Patch 18,1070634
ESXi 4.0 Patch 17,989856
ESXi 4.0 Patch 16,787047
ESXi 4.0 Patch 15,721907
ESXi 4.0 Patch 14,702116
ESXi 4.0 Patch 13,660575
ESXi 4.0 U4,504850
ESXi 4.0 Patch 12,480973
ESXi 4.0 U3,398348
ESXi 4.0 Patch 11,392990
ESXi 4.0 Patch 10,360236
ESXi 4.0 Patch 9,332073
ESXi 4.0 Patch 8,294855
ESXi 4.0 U2,261974
ESXi 4.0 Patch 7,256968
ESXi 4.0 Patch 6,244038
ESXi 4.0 Patch 5,236512
ESXi 4.0 Patch 4,219382
ESXi 4.0 U1,208167
ESXi 4.0 Patch 3,193498
ESXi 4.0 Patch 2,181792
ESXi 4.0 Patch 1,175625
ESXi 4.0 GA,164009
ESXe350-201302401-O-SG,988599
ESXe350-201206401-O-SG,725354
ESXe350-201205401-O-SG,702112
ESXe350-201203401-O-SG,604481
VMware ESXi 3.5 June 2011 Rollup,391406
ESXe350-201105401-O-SG,391406
ESXe350-201012401-O-BG,317866
ESXe350-201008401-O-SG,283373
ESXe350-201006401-O-SG,259926
ESXe350-201003401-O-BG,238493
ESXe350-201002401-O-SG,226117
ESXe350-200912401-O-BG,213532
VMware ESXi 3.5 Update 5,207095
ESXe350-200910401-I-SG,199239
ESXe350-200908401-I-BG,184236
ESXe350-200907401-I-BG,176894
ESXe350-200906401-I-BG,169697
ESXe350-200905401-I-BG,163429
ESXe350-200904401-I-SG,158874
VMware ESXi 3.5 Update 4,153875
ESXe350-200903411-I-BG,153480
ESXe350-200901401-I-SG,143129
ESXe350-200811401-I-SG,130755
VMware ESXi 3.5 Update 3,123629
ESXe350-200809401-I-SG,120505
